NodeLeftSchemaName,NodeLeftTableName,NodeLeftName,NodeLeftDataType,NodeRightSchemaName,NodeRightTableName,NodeRightName,NodeRightDataType,BERT_BASE,FUZZY_MATCH,SYN_AND_SEM_MATCH
MedTakmi_Cdi_Emr_Diagnosis,Cdi,diseaseNameOnDischarge,String,Openemr_PatientData,Patientdata,allow_imm_reg_use,String,0.5615,29,0.8083
Openemr_PatientData,Patientdata,guardiancity,String,MedTakmi_Cdi_Emr_laboratoryTest,Cdi,material,String,0.6473,50,0.7097
Openemr_Lists,Lists,reinjury_id,Long,Openemr_PatientData,Patientdata,street,String,0.5149,17,0.7285
Openemr_Lists,Lists,destination,String,Openemr_PatientData,Patientdata,guardianaddress,String,0.595,36,0.7514
Openemr_PatientData,Patientdata,occupation,String,emrbots,PatientCorePopulatedTable,PatientGender,String,0.5375,40,0.7604
Openemr_PatientData,Patientdata,financial,String,LPanEmr,Patient,height,Long,0.5527,17,0.5241
MedTakmi_Cdi_Emr_Profile,Cdi,patientID,Long,Openemr_PatientData,Patientdata,care_team_facility,String,0.7548,35,0.5985
Openemr_Lists,Lists,injury_part,String,MedTakmi_Cdi_Emr_Therapy,Cdi,operativeProcedure1,String,0.6214,27,0.7217
Krsiloemr,tblPatient,SymptomsAndSigns,Long,Openemr_PatientData,Patientdata,mothersname,String,0.5662,36,0.6775
Openemr_PatientData,Patientdata,userlist6,String,Krsiloemr,tblPatient,ClinicalHistory,Long,0.4496,44,0.7759
Krsiloemr,tblPatient,NTproBNP,Double,Openemr_PatientData,Patientdata,allow_patient_portal,String,0.574,25,0.7233
emrbots,PatientCorePopulatedTable,AdmissionId,Long,Openemr_PatientData,Patientdata,race,String,0.51,0,0.7603
MedTakmi_Cdi_Emr_laboratoryTest,Cdi,material,String,Openemr_PatientData,Patientdata,guardianaddress,String,0.584,25,0.8017
Openemr_Lists,Lists,occurence,Long,Openemr_PatientData,Patientdata,language,String,0.7892,25,0.7897
MedTakmi_Cdi_Emr_Profile,Cdi,name,String,Openemr_PatientData,Patientdata,guardianrelationship,String,0.6643,50,0.5982
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,usertext4,String,0.5405,33,0.5589
Openemr_PatientData,Patientdata,genericval1,String,Krsiloemr,tblPatient,Age,Long,0.5908,33,0.7909
Openemr_Lists,Lists,begdate,Date,Openemr_PatientData,Patientdata,lname,String,0.7889,40,0.8152
Openemr_PatientData,Patientdata,title,String,emrbots,PatientCorePopulatedTable,PatientGender,String,0.557,60,0.7069
Openemr_PatientData,Patientdata,publ_code_eff_date,String,emrbots,PatientCorePopulatedTable,PatientPopulationPercentageBelowPoverty,String,0.5657,44,0.7217
Openemr_PatientData,Patientdata,care_team_facility,String,Openemr_Lists,Lists,type,String,0.6531,50,0.6149
Openemr_PatientData,Patientdata,contact_relationship,String,Krsiloemr,tblPatient,SymptomsAndSigns,Long,0.65,31,0.7875
MedTakmi_Cdi_Emr_Diagnosis,Cdi,diseaseNameOnAdmission,String,Openemr_PatientData,Patientdata,userlist5,String,0.4844,22,0.7764
Krsiloemr,tblPatient,BNP,Double,Openemr_PatientData,Patientdata,DOB,Date,0.7731,33,0.7408
Openemr_PatientData,Patientdata,pid,Long,MedTakmi_Cdi_Emr_laboratoryTest,Cdi,material,String,0.6845,33,0.7501
Krsiloemr,tblPatient,Gender,String,Openemr_PatientData,Patientdata,fname,String,0.6457,40,0.774
Openemr_PatientData,Patientdata,date,DateTime,Openemr_Lists,Lists,injury_type,String,0.4392,50,0.7009
Openemr_PatientData,Patientdata,postal_code,Long,MedTakmi_Cdi_Emr_CareHistory,Cdi,patientID,Long,0.4932,22,0.6688
LPanEmr,Patient,status,String,Openemr_Lists,Lists,returndate,String,0.7764,36,0.785
Openemr_PatientData,Patientdata,financial_review,DateTime,MedTakmi_Cdi_Emr_Profile,Cdi,LiverDysfunction,String,0.4557,25,0.654
Openemr_PatientData,Patientdata,postal_code,Long,Krsiloemr,tblPatient,LAVI,Double,0.5895,0,0.7356
MedTakmi_Cdi_Emr_Therapy,Cdi,date,DateTime,Openemr_PatientData,Patientdata,mname,String,0.6379,50,0.7744
Openemr_PatientData,Patientdata,guardianpostalcode,Long,MedTakmi_Cdi_Emr_Diagnosis,Cdi,outcome,String,0.5891,57,0.735
MedTakmi_Cdi_Emr_Profile,Cdi,dateOfFirstVisit,Date,Openemr_PatientData,Patientdata,fname,String,0.6576,20,0.7898
Openemr_PatientData,Patientdata,genericval2,String,MedTakmi_Cdi_Emr_Profile,Cdi,RenalDysfunction,String,0.727,36,0.6929
Openemr_Lists,Lists,external_allergyid,String,MedTakmi_Cdi_Emr_Therapy,Cdi,operativeSite1,String,0.5845,29,0.7045
Openemr_Lists,Lists,returndate,String,LPanEmr,Patient,allergichistory,String,0.4468,30,0.7561
Krsiloemr,tblPatient,Ee,Double,Openemr_Lists,Lists,modifydate,DateTime,0.7167,50,0.7006
Openemr_PatientData,Patientdata,state,String,Openemr_Lists,Lists,occurence,Long,0.7942,20,0.7818
emrbots,PatientCorePopulatedTable,AdmissionStartDate,Date,Openemr_Lists,Lists,external_allergyid,String,0.6095,22,0.8207
LPanEmr,Patient,insurance,String,Krsiloemr,tblPatient,DateOfBirth,Date,0.6043,22,0.6837
Openemr_PatientData,Patientdata,userlist6,String,MedTakmi_Cdi_Emr_Profile,Cdi,RenalDysfunction,String,0.62,33,0.8212
Openemr_PatientData,Patientdata,genericval2,String,MedTakmi_Cdi_Emr_Therapy,Cdi,careGroup,String,0.5676,22,0.6079
