NodeLeftSchemaName,NodeLeftTableName,NodeLeftName,NodeLeftDataType,NodeRightSchemaName,NodeRightTableName,NodeRightName,NodeRightDataType,BERT_BASE,FUZZY_MATCH,SYN_AND_SEM_MATCH
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,guardianaddress,String,0.5140,17.0,0.6728
LPanEmr,Patient,weight,Long,Openemr_Lists,Lists,user,String,0.6381,0.0,0.5500
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,vfc,String,0.6349,0.0,0.6088
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,guardiansname,String,0.5892,17.0,0.6446
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,ethnicity,String,0.5923,33.0,0.6361
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,cmsportal_login,String,0.5777,17.0,0.7130
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,guardiancity,String,0.5267,33.0,0.6125
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,ad_reviewed,DateTime,0.5668,33.0,0.5968
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,hipaa_voice,String,0.6321,17.0,0.6402
LPanEmr,Patient,weight,Long,MedTakmi_Cdi_Emr_laboratoryTest,Cdi,patientID,Long,0.4994,33.0,0.7230
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,drivers_license,String,0.4236,17.0,0.5017
LPanEmr,Patient,weight,Long,Krsiloemr,tblPatient,eSeptal,Double,0.6294,33.0,0.5658
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,family_size,Long,0.6314,17.0,0.6262
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,industry,String,0.6402,33.0,0.5354
LPanEmr,Patient,weight,Long,Openemr_Lists,Lists,reinjury_id,Long,0.4707,33.0,0.6308
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,phone_biz,Long,0.5126,33.0,0.5145
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,status,String,0.6481,17.0,0.6048
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,guardiancountry,String,0.5087,17.0,0.5209
LPanEmr,Patient,weight,Long,MedTakmi_Cdi_Emr_Therapy,Cdi,careGroup,String,0.4909,17.0,0.4799
LPanEmr,Patient,weight,Long,Openemr_Lists,Lists,external_id,String,0.5591,17.0,0.5138
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,allow_health_info_ex,String,0.4111,33.0,0.5426
LPanEmr,Patient,weight,Long,Openemr_PatientData,Patientdata,publicity_code,String,0.4647,33.0,0.3883
LPanEmr,Patient,weight,Long,emrbots,PatientCorePopulatedTable,PatientLanguage,String,0.4591,33.0,0.7226
LPanEmr,Patient,weight,Long,Krsiloemr,tblPatient,LVEF,Double,0.6303,0.0,0.4770
LPanEmr,Patient,weight,Long,Krsiloemr,tblPatient,EncounterDate,Date,0.5730,33.0,0.6111
LPanEmr,Patient,weight,Long,Openemr_Lists,Lists,erx_source,Long,0.5619,17.0,0.5507
LPanEmr,Patient,weight,Long,MedTakmi_Cdi_Emr_Therapy,Cdi,date,DateTime,0.4852,25.0,0.5779
